,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
comp1,2.9750064307690316,24.79172025640858,2.9750064307690316,24.79172025640858
comp2,1.8219347605359368,15.182789671132799,4.796941191304969,39.974509927541376
comp3,1.4853513916822847,12.377928264019033,6.282292582987253,52.35243819156041
comp4,1.2480142785905906,10.400118988254915,7.530306861577843,62.75255717981533
comp5,1.0281833960268842,8.568194966890697,8.558490257604728,71.32075214670603
comp6,0.9552953127558542,7.9607942729654475,9.513785570360582,79.28154641967147
comp7,0.7272742304522193,6.060618587101824,10.2410598008128,85.3421650067733
comp8,0.5357153797951403,4.464294831626166,10.776775180607942,89.80645983839946
comp9,0.483921642386181,4.032680353218173,11.260696822994122,93.83914019161763
comp10,0.38805086660155474,3.233757221679621,11.648747689595677,97.07289741329726
comp11,0.2354136262498428,1.9617802187486888,11.88416131584552,99.03467763204594
comp12,0.11583868415448756,0.9653223679540623,12.000000000000007,100.0
